# Golden snapshot of the full pairwise Miedema mixing-enthalpy matrix.
# Source: matminer 0.10.1 (Takeuchi & Inoue 2005), impute_nan=False.
# Regenerate deliberately with:  python mixing_enthalpy.py --write-snapshot
# 'nan' = no Miedema value for that pair (e.g. anything with O, S, Te).
elem_A	elem_B	delta_Hf
Ag	Al	-4.0
Ag	Be	6.0
Ag	Bi	2.0
Ag	C	-32.0
Ag	Cd	-2.0
Ag	Co	19.0
Ag	Cr	27.0
Ag	Cu	2.0
Ag	Fe	28.0
Ag	Li	-16.0
Ag	Mg	-10.0
Ag	Mn	13.0
Ag	N	-94.0
Ag	Nb	16.0
Ag	Ni	15.0
Ag	O	nan
Ag	P	-18.5
Ag	Pb	3.0
Ag	S	nan
Ag	Sb	-4.0
Ag	Si	-20.0
Ag	Sn	-3.0
Ag	Ta	15.0
Ag	Te	nan
Ag	Ti	-2.0
Ag	W	43.0
Ag	Zn	-4.0
Ag	Zr	-20.0
Al	Be	0.0
Al	Bi	10.0
Al	C	-36.0
Al	Cd	3.0
Al	Co	-19.0
Al	Cr	-10.0
Al	Cu	-1.0
Al	Fe	-11.0
Al	Li	-4.0
Al	Mg	-2.0
Al	Mn	-19.0
Al	N	-92.0
Al	Nb	-18.0
Al	Ni	-22.0
Al	O	nan
Al	P	-20.5
Al	Pb	10.0
Al	S	nan
Al	Sb	2.0
Al	Si	-19.0
Al	Sn	4.0
Al	Ta	-19.0
Al	Te	nan
Al	Ti	-30.0
Al	W	-2.0
Al	Zn	1.0
Al	Zr	-44.0
Be	Bi	26.0
Be	C	-15.0
Be	Cd	11.0
Be	Co	-4.0
Be	Cr	-7.0
Be	Cu	0.0
Be	Fe	-4.0
Be	Li	-5.0
Be	Mg	-3.0
Be	Mn	-10.0
Be	N	-39.0
Be	Nb	-25.0
Be	Ni	-4.0
Be	O	nan
Be	P	-3.5
Be	Pb	25.0
Be	S	nan
Be	Sb	18.0
Be	Si	-15.0
Be	Sn	15.0
Be	Ta	-24.0
Be	Te	nan
Be	Ti	-30.0
Be	W	-3.0
Be	Zn	4.0
Be	Zr	-43.0
Bi	C	-12.0
Bi	Cd	1.0
